x1_verts,x2_verts,n_verts_perterbed,delta,dcorr_median,mgc_median,hsic_median,dcorr_seedless,mgc_seedless,hsic_seedless
150,150,0,0.0,0.5208333333333334,0.6770833333333334,0.23958333333333334,0.010416666666666666,0.16666666666666666,0.0
150,150,0,0.2,0.5416666666666666,0.6979166666666666,0.2604166666666667,0.03125,0.20833333333333334,0.020833333333333332
150,150,0,0.4,0.59375,0.8020833333333334,0.3229166666666667,0.010416666666666666,0.1875,0.010416666666666666
150,150,0,0.6000000000000001,0.6041666666666666,0.7916666666666666,0.3541666666666667,0.010416666666666666,0.15625,0.0
150,150,0,0.8,0.5520833333333334,0.6979166666666666,0.3229166666666667,0.010416666666666666,0.22916666666666666,0.010416666666666666
150,150,0,1.0,0.4791666666666667,0.6770833333333334,0.2916666666666667,0.010416666666666666,0.1875,0.010416666666666666
150,150,20,0.0,0.5833333333333334,0.8125,0.22916666666666666,0.03125,0.14583333333333334,0.020833333333333332
150,150,20,0.2,0.6145833333333334,0.7916666666666666,0.3020833333333333,0.020833333333333332,0.16666666666666666,0.010416666666666666
150,150,20,0.4,0.625,0.7395833333333334,0.3854166666666667,0.0,0.09375,0.0
150,150,20,0.6000000000000001,0.5520833333333334,0.78125,0.28125,0.010416666666666666,0.21875,0.0
150,150,20,0.8,0.5833333333333334,0.7708333333333334,0.3125,0.010416666666666666,0.19791666666666666,0.0
150,150,20,1.0,0.5,0.84375,0.22916666666666666,0.020833333333333332,0.1875,0.020833333333333332
150,150,40,0.0,0.5625,0.7083333333333334,0.34375,0.010416666666666666,0.14583333333333334,0.010416666666666666
150,150,40,0.2,0.5416666666666666,0.65625,0.28125,0.010416666666666666,0.14583333333333334,0.010416666666666666
150,150,40,0.4,0.5416666666666666,0.75,0.2916666666666667,0.010416666666666666,0.08333333333333333,0.010416666666666666
150,150,40,0.6000000000000001,0.4895833333333333,0.7395833333333334,0.21875,0.041666666666666664,0.25,0.0
150,150,40,0.8,0.5625,0.7708333333333334,0.2916666666666667,0.010416666666666666,0.1875,0.0
150,150,40,1.0,0.5729166666666666,0.8229166666666666,0.3125,0.052083333333333336,0.2916666666666667,0.03125
150,150,60,0.0,0.53125,0.6979166666666666,0.3125,0.010416666666666666,0.1875,0.0
150,150,60,0.2,0.4479166666666667,0.71875,0.2604166666666667,0.020833333333333332,0.16666666666666666,0.020833333333333332
150,150,60,0.4,0.5520833333333334,0.8020833333333334,0.34375,0.010416666666666666,0.17708333333333334,0.010416666666666666
150,150,60,0.6000000000000001,0.5208333333333334,0.8333333333333334,0.20833333333333334,0.020833333333333332,0.2708333333333333,0.010416666666666666
150,150,60,0.8,0.5104166666666666,0.8229166666666666,0.20833333333333334,0.020833333333333332,0.4375,0.010416666666666666
150,150,60,1.0,0.4583333333333333,0.8854166666666666,0.15625,0.03125,0.4791666666666667,0.010416666666666666
150,150,80,0.0,0.59375,0.7604166666666666,0.3020833333333333,0.020833333333333332,0.17708333333333334,0.010416666666666666
150,150,80,0.2,0.5,0.65625,0.3020833333333333,0.010416666666666666,0.13541666666666666,0.010416666666666666
150,150,80,0.4,0.4375,0.6979166666666666,0.21875,0.010416666666666666,0.14583333333333334,0.0
150,150,80,0.6000000000000001,0.4166666666666667,0.7916666666666666,0.22916666666666666,0.03125,0.3958333333333333,0.020833333333333332
150,150,80,0.8,0.5520833333333334,0.8645833333333334,0.2916666666666667,0.041666666666666664,0.5520833333333334,0.0
150,150,80,1.0,0.5833333333333334,0.9479166666666666,0.2604166666666667,0.07291666666666667,0.7083333333333334,0.020833333333333332
150,150,100,0.0,0.5729166666666666,0.7395833333333334,0.2708333333333333,0.010416666666666666,0.20833333333333334,0.010416666666666666
150,150,100,0.2,0.4791666666666667,0.7291666666666666,0.2604166666666667,0.020833333333333332,0.14583333333333334,0.010416666666666666
150,150,100,0.4,0.5,0.7604166666666666,0.23958333333333334,0.03125,0.22916666666666666,0.020833333333333332
150,150,100,0.6000000000000001,0.4583333333333333,0.9270833333333334,0.17708333333333334,0.0,0.6458333333333334,0.0
150,150,100,0.8,0.4583333333333333,0.9166666666666666,0.19791666666666666,0.07291666666666667,0.7916666666666666,0.0
150,150,100,1.0,0.5833333333333334,0.96875,0.19791666666666666,0.11458333333333333,0.8958333333333334,0.0
