x1_verts,x2_verts,n_verts_perterbed,delta,dcorr_median,mgc_median,hsic_median,dcorr_seedless,mgc_seedless,hsic_seedless
158,158,0,0.0,0.458,0.618,0.18,0.022,0.042,0.018
158,158,0,0.1,0.44,0.584,0.196,0.03,0.036,0.024
158,158,0,0.2,0.464,0.618,0.216,0.032,0.048,0.02
158,158,0,0.30000000000000004,0.46,0.596,0.208,0.042,0.048,0.032
158,158,0,0.4,0.46,0.62,0.198,0.032,0.046,0.024
158,158,0,0.5,0.442,0.624,0.164,0.02,0.028,0.01
158,158,0,0.6000000000000001,0.464,0.612,0.184,0.026,0.03,0.014
158,158,0,0.7000000000000001,0.452,0.614,0.196,0.026,0.038,0.008
158,158,0,0.8,0.458,0.612,0.2,0.022,0.026,0.02
158,158,0,0.9,0.436,0.616,0.19,0.018,0.03,0.012
158,158,0,1.0,0.47,0.628,0.222,0.03,0.042,0.018
158,158,53,0.0,0.476,0.648,0.206,0.036,0.042,0.02
158,158,53,0.1,0.464,0.62,0.194,0.028,0.026,0.014
158,158,53,0.2,0.412,0.608,0.184,0.024,0.042,0.018
158,158,53,0.30000000000000004,0.488,0.656,0.282,0.052,0.07,0.034
158,158,53,0.4,0.448,0.662,0.2,0.032,0.044,0.012
158,158,53,0.5,0.404,0.692,0.196,0.042,0.092,0.02
158,158,53,0.6000000000000001,0.424,0.718,0.204,0.042,0.084,0.018
158,158,53,0.7000000000000001,0.43,0.728,0.204,0.042,0.088,0.016
158,158,53,0.8,0.414,0.73,0.194,0.052,0.104,0.018
158,158,53,0.9,0.436,0.754,0.196,0.056,0.106,0.016
158,158,53,1.0,0.444,0.768,0.198,0.062,0.128,0.022
158,158,105,0.0,0.474,0.636,0.22,0.024,0.036,0.018
158,158,105,0.1,0.446,0.616,0.19,0.022,0.034,0.014
158,158,105,0.2,0.432,0.62,0.232,0.028,0.048,0.014
158,158,105,0.30000000000000004,0.378,0.668,0.182,0.034,0.094,0.008
158,158,105,0.4,0.4,0.744,0.204,0.072,0.252,0.014
158,158,105,0.5,0.386,0.802,0.16,0.054,0.378,0.016
158,158,105,0.6000000000000001,0.424,0.872,0.21,0.098,0.518,0.022
158,158,105,0.7000000000000001,0.496,0.922,0.212,0.13,0.676,0.012
158,158,105,0.8,0.524,0.95,0.18,0.204,0.76,0.024
158,158,105,0.9,0.554,0.958,0.192,0.218,0.806,0.016
158,158,105,1.0,0.62,0.97,0.24,0.322,0.866,0.05
158,158,158,0.0,0.48,0.63,0.204,0.024,0.036,0.014
158,158,158,0.1,0.462,0.63,0.218,0.02,0.03,0.014
158,158,158,0.2,0.418,0.662,0.184,0.024,0.066,0.012
158,158,158,0.30000000000000004,0.398,0.778,0.196,0.052,0.328,0.014
158,158,158,0.4,0.42,0.944,0.164,0.086,0.802,0.016
158,158,158,0.5,0.476,0.994,0.198,0.18,0.984,0.026
158,158,158,0.6000000000000001,0.564,0.998,0.186,0.248,0.996,0.022
158,158,158,0.7000000000000001,0.702,1.0,0.182,0.394,1.0,0.032
158,158,158,0.8,0.776,1.0,0.236,0.57,1.0,0.074
158,158,158,0.9,0.91,1.0,0.316,0.756,1.0,0.112
158,158,158,1.0,0.932,1.0,0.366,0.884,1.0,0.162
