x1_verts,x2_verts,n_verts_perterbed,delta,dcorr_median,mgc_median,hsic_median,dcorr_seedless,mgc_seedless,hsic_seedless
163,163,0,0.0,0.756,0.864,0.452,0.02,0.026,0.012
163,163,0,0.1,0.724,0.826,0.408,0.026,0.036,0.018
163,163,0,0.2,0.716,0.814,0.458,0.032,0.044,0.024
163,163,0,0.30000000000000004,0.72,0.838,0.448,0.036,0.042,0.026
163,163,0,0.4,0.68,0.812,0.42,0.02,0.032,0.016
163,163,0,0.5,0.676,0.802,0.43,0.02,0.03,0.012
163,163,0,0.6000000000000001,0.684,0.802,0.444,0.034,0.046,0.024
163,163,0,0.7000000000000001,0.7,0.814,0.414,0.04,0.042,0.026
163,163,0,0.8,0.732,0.83,0.452,0.034,0.058,0.024
163,163,0,0.9,0.696,0.806,0.434,0.024,0.032,0.018
163,163,0,1.0,0.682,0.782,0.418,0.026,0.038,0.02
163,163,54,0.0,0.688,0.812,0.422,0.022,0.032,0.01
163,163,54,0.1,0.692,0.818,0.4,0.032,0.042,0.024
163,163,54,0.2,0.69,0.82,0.434,0.028,0.042,0.016
163,163,54,0.30000000000000004,0.64,0.812,0.378,0.02,0.038,0.014
163,163,54,0.4,0.616,0.822,0.388,0.04,0.058,0.022
163,163,54,0.5,0.64,0.834,0.382,0.04,0.074,0.014
163,163,54,0.6000000000000001,0.64,0.838,0.396,0.028,0.086,0.008
163,163,54,0.7000000000000001,0.66,0.874,0.348,0.038,0.108,0.016
163,163,54,0.8,0.636,0.872,0.368,0.052,0.118,0.018
163,163,54,0.9,0.638,0.86,0.358,0.062,0.13,0.016
163,163,54,1.0,0.64,0.878,0.366,0.068,0.116,0.022
163,163,109,0.0,0.726,0.834,0.43,0.012,0.018,0.006
163,163,109,0.1,0.672,0.828,0.354,0.026,0.044,0.018
163,163,109,0.2,0.622,0.8,0.372,0.02,0.032,0.004
163,163,109,0.30000000000000004,0.634,0.848,0.36,0.042,0.146,0.024
163,163,109,0.4,0.604,0.862,0.342,0.052,0.288,0.022
163,163,109,0.5,0.614,0.93,0.332,0.078,0.454,0.018
163,163,109,0.6000000000000001,0.576,0.954,0.27,0.064,0.646,0.01
163,163,109,0.7000000000000001,0.63,0.966,0.27,0.136,0.754,0.02
163,163,109,0.8,0.654,0.992,0.276,0.178,0.842,0.03
163,163,109,0.9,0.67,0.982,0.302,0.216,0.88,0.04
163,163,109,1.0,0.708,0.99,0.282,0.254,0.898,0.038
163,163,163,0.0,0.728,0.83,0.446,0.022,0.042,0.018
163,163,163,0.1,0.698,0.838,0.44,0.022,0.026,0.008
163,163,163,0.2,0.646,0.834,0.38,0.042,0.112,0.022
163,163,163,0.30000000000000004,0.632,0.928,0.344,0.076,0.486,0.022
163,163,163,0.4,0.588,0.998,0.288,0.118,0.932,0.012
163,163,163,0.5,0.624,1.0,0.274,0.17,1.0,0.026
163,163,163,0.6000000000000001,0.658,1.0,0.228,0.26,1.0,0.028
163,163,163,0.7000000000000001,0.738,1.0,0.218,0.366,1.0,0.046
163,163,163,0.8,0.838,1.0,0.258,0.544,1.0,0.058
163,163,163,0.9,0.906,1.0,0.334,0.73,1.0,0.102
163,163,163,1.0,0.944,1.0,0.398,0.84,1.0,0.148
