n_verts_perterbed,delta,dcorr_median,mgc_median,hsic_median,dcorr_seedless,mgc_seedless,hsic_seedless
0,0.0,0.462,0.69,0.14,0.0,0.0,0.0
0,0.1,0.338,0.606,0.116,0.0,0.0,0.0
0,0.2,0.37,0.608,0.138,0.0,0.0,0.0
0,0.30000000000000004,0.404,0.648,0.118,0.0,0.0,0.0
0,0.4,0.368,0.642,0.106,0.0,0.0,0.0
0,0.5,0.394,0.624,0.134,0.0,0.0,0.0
0,0.6000000000000001,0.382,0.622,0.126,0.0,0.0,0.0
0,0.7000000000000001,0.408,0.648,0.136,0.0,0.0,0.0
0,0.8,0.39,0.644,0.126,0.0,0.0,0.0
0,0.9,0.352,0.628,0.1,0.0,0.0,0.0
0,1.0,0.392,0.65,0.128,0.0,0.0,0.0
53,0.0,0.364,0.636,0.112,0.0,0.0,0.0
53,0.1,0.378,0.666,0.15,0.0,0.0,0.0
53,0.2,0.322,0.652,0.132,0.0,0.0,0.0
53,0.30000000000000004,0.302,0.668,0.142,0.0,0.0,0.0
53,0.4,0.258,0.66,0.146,0.0,0.0,0.0
53,0.5,0.278,0.646,0.152,0.0,0.006,0.0
53,0.6000000000000001,0.312,0.67,0.158,0.0,0.002,0.0
53,0.7000000000000001,0.33,0.696,0.184,0.0,0.016,0.0
53,0.8,0.334,0.71,0.152,0.002,0.012,0.0
53,0.9,0.322,0.712,0.132,0.008,0.036,0.0
53,1.0,0.382,0.722,0.184,0.008,0.03,0.0
105,0.0,0.392,0.654,0.13,0.0,0.0,0.0
105,0.1,0.348,0.646,0.136,0.0,0.0,0.0
105,0.2,0.312,0.634,0.172,0.0,0.0,0.0
105,0.30000000000000004,0.284,0.714,0.154,0.0,0.006,0.0
105,0.4,0.282,0.684,0.154,0.004,0.074,0.0
105,0.5,0.316,0.762,0.16,0.002,0.158,0.0
105,0.6000000000000001,0.31,0.792,0.146,0.002,0.248,0.0
105,0.7000000000000001,0.348,0.858,0.118,0.018,0.35,0.0
105,0.8,0.416,0.904,0.144,0.034,0.482,0.0
105,0.9,0.464,0.942,0.146,0.062,0.6,0.002
105,1.0,0.56,0.966,0.144,0.11,0.732,0.0
158,0.0,0.378,0.622,0.116,0.0,0.0,0.0
158,0.1,0.338,0.614,0.138,0.0,0.0,0.0
158,0.2,0.288,0.66,0.16,0.0,0.008,0.0
158,0.30000000000000004,0.268,0.704,0.15,0.006,0.152,0.0
158,0.4,0.31,0.92,0.132,0.026,0.692,0.0
158,0.5,0.338,0.992,0.122,0.03,0.978,0.0
158,0.6000000000000001,0.448,0.998,0.12,0.056,0.996,0.0
158,0.7000000000000001,0.59,1.0,0.114,0.18,1.0,0.0
158,0.8,0.784,1.0,0.166,0.4,1.0,0.002
158,0.9,0.888,1.0,0.224,0.624,1.0,0.016
158,1.0,0.95,1.0,0.32,0.848,1.0,0.028
